benchmark,top1_name,top1_weight,top2_name,top2_weight,top3_name,top3_weight
perlbench,perlbench_diffmail_18104,59.2%,perlbench_splitmail_25006,47.6%,perlbench_diffmail_3138,22.6%
bzip2,bzip2_liberty_4623,32.9%,bzip2_source_8439,30.9%,bzip2_html_12894,29.3%
gcc,gcc_typeck_830,21.4%,gcc_cpdecl_2233,21.2%,gcc_200_4784,19.6%
mcf,mcf_12253,13.8%,mcf_10688,13.5%,mcf_9294,13.0%
gobmk,gobmk_score2_13713,14.0%,gobmk_trevord_7886,13.6%,gobmk_nngs_5856,13.2%
hmmer,hmmer_nph3_2887,23.7%,hmmer_nph3_9545,23.2%,hmmer_nph3_33586,17.2%
sjeng,sjeng_84999,14.4%,sjeng_983,12.9%,sjeng_82720,12.1%
libquantum,libquantum_64624,24.3%,libquantum_72640,11.4%,libquantum_22269,8.6%
h264ref,h264ref_foreman.baseline_793,13.9%,h264ref_sss_94143,12.5%,h264ref_foreman.baseline_369,9.5%
omnetpp,omnetpp_20261,36.1%,omnetpp_16482,27.0%,omnetpp_19013,17.9%
astar,astar_biglakes_3267,38.9%,astar_rivers_9999,35.8%,astar_rivers_3208,23.3%
xalancbmk,xalancbmk_8082,9.7%,xalancbmk_3933,6.2%,xalancbmk_25293,5.1%
bwaves,bwaves_37801,70.6%,bwaves_23357,6.3%,bwaves_28874,3.9%
gamess,gamess_gradient_39862,11.9%,gamess_triazolium_193880,10.9%,gamess_triazolium_48031,10.0%
milc,milc_17368,15.0%,milc_31721,11.5%,milc_5116,6.5%
zeusmp,zeusmp_78888,8.6%,zeusmp_42748,6.7%,zeusmp_29834,6.6%
gromacs,gromacs_35112,12.9%,gromacs_2830,8.6%,gromacs_1290,6.2%
cactusADM,cactusADM_128904,67.1%,cactusADM_8673,28.1%,cactusADM_156697,4.1%
leslie3d,leslie3d_68289,18.3%,leslie3d_80645,17.9%,leslie3d_4360,16.8%
namd,namd_13387,6.9%,namd_41738,6.5%,namd_58329,5.2%
dealII,dealII_55586,12.4%,dealII_5820,11.0%,dealII_29521,10.0%
soplex,soplex_ref_14255,32.9%,soplex_pds-50_6802,8.4%,soplex_pds-50_16031,7.8%
povray,povray_10202,10.1%,povray_13677,8.8%,povray_37386,6.0%
calculix,calculix_13476,16.1%,calculix_28512,13.9%,calculix_3486,9.5%
GemsFDTD,GemsFDTD_30385,26.8%,GemsFDTD_59041,20.3%,GemsFDTD_28980,4.4%
tonto,tonto_23672,11.4%,tonto_70839,8.8%,tonto_50255,7.4%
lbm,lbm_7139,40.0%,lbm_12578,23.1%,lbm_37647,12.6%
wrf,wrf_102864,11.6%,wrf_35600,8.7%,wrf_125157,6.7%
sphinx3,sphinx3_82338,9.9%,sphinx3_142675,8.8%,sphinx3_182227,7.3%
